ÉLECTION PARTIELLE DU 2010/09/13;;;;;;;;;;
CIRCONSCRIPTION                    ;      ;    ;       ;Fiorilo             ;Fournier            ;Landry              ;Leclerc             ;Pigeon              ;      ;    
Saint-Laurent                      ; S.É. ;S.V.; É.I.  ;Jose                ;Jean-Marc           ;Tim                 ;Philippe            ;Marie Josèphe       ;B.V.  ;B.R.
MUNICIPALITÉS                      ;      ;    ;       ;A.D.Q.         ;P.L.Q./Q.L.P.  ;P.V.Q./G.P.Q.  ;P.Q.           ;Q.S.           ;      ;    
Montréal,v  (p)                    ;033.00;120;266;2;32;1;4;1;40;0
Montréal,v  (p)                    ;033.00;121;308;3;26;3;6;3;41;2
Montréal,v  (p)                    ;033.00;122;314;3;31;0;1;2;37;0
Montréal,v  (p)                    ;033.00;123;320;2;29;0;4;3;38;2
Montréal,v  (p)                    ;033.00;124;292;2;44;2;8;4;60;0
Montréal,v  (p)                    ;033.00;125;284;8;21;4;7;8;48;1
Montréal,v  (p)                    ;033.00;126;278;2;26;4;6;0;38;1
Montréal,v  (p)                    ;033.00;127;306;0;39;2;10;3;54;1
Montréal,v  (p)                    ;033.00;128;290;4;33;3;10;2;52;3
TOTAL DU SECTEUR                   ;      ;    ;2658;26;281;19;56;26;408;10
Montréal,v  (p)                    ;034.00;129;333;1;23;4;32;6;66;0
Montréal,v  (p)                    ;034.00;130;325;4;19;2;28;7;60;0
Montréal,v  (p)                    ;034.00;131;311;5;25;4;37;12;83;0
Montréal,v  (p)                    ;034.00;132;336;13;27;9;70;9;128;0
Montréal,v  (p)                    ;034.00;133;311;8;40;12;30;8;98;2
Montréal,v  (p)                    ;034.00;134;323;2;51;2;10;3;68;2
TOTAL DU SECTEUR                   ;      ;    ;1939;33;185;33;207;45;503;4
Montréal,v  (p)                    ;035.00;135;319;8;35;3;10;5;61;1
Montréal,v  (p)                    ;035.00;136;319;6;34;7;10;1;58;0
Montréal,v  (p)                    ;035.00;137;308;4;44;5;32;2;87;0
Montréal,v  (p)                    ;035.00;138;332;2;50;1;2;2;57;2
Montréal,v  (p)                    ;035.00;139;308;8;30;3;9;1;51;0
Montréal,v  (p)                    ;035.00;140;316;6;33;3;4;1;47;1
Montréal,v  (p)                    ;035.00;141;303;7;38;1;6;0;52;1
TOTAL DU SECTEUR                   ;      ;    ;2205;41;264;23;73;12;413;5
Montréal,v  (p)                    ;036.00;142;152;0;0;0;0;0;0;0
Montréal,v  (p)                    ;036.00;143;132;0;0;0;0;0;0;0
Montréal,v  (p)                    ;036.00;144;277;5;30;0;0;0;35;0
Montréal,v  (p)                    ;036.00;145;259;0;30;3;2;0;35;0
Montréal,v  (p)                    ;036.00;146;287;4;33;2;2;1;42;1
Montréal,v  (p)                    ;036.00;147;268;3;18;3;6;1;31;1
Montréal,v  (p)                    ;036.00;148;292;5;32;1;1;2;41;0
Montréal,v  (p)                    ;036.00;149;275;3;32;0;1;0;36;0
Montréal,v  (p)                    ;036.00;150;296;3;25;1;6;1;36;0
Montréal,v  (p)                    ;036.00;151;273;11;34;3;3;1;52;0
TOTAL DU SECTEUR                   ;      ;    ;2511;34;234;13;21;6;308;2
Montréal,v  (p)                    ;037.00;152;330;2;33;0;0;0;35;0
Montréal,v  (p)                    ;037.00;153;304;10;50;2;1;0;63;0
Montréal,v  (p)                    ;037.00;154;304;5;48;10;1;1;65;0
Montréal,v  (p)                    ;037.00;155;308;12;38;1;3;1;55;0
Montréal,v  (p)                    ;037.00;156;306;25;39;6;2;1;73;2
Montréal,v  (p)                    ;037.00;157;308;6;42;3;2;2;55;0
Montréal,v  (p)                    ;037.00;158;314;1;32;2;1;0;36;1
TOTAL DU SECTEUR                   ;      ;    ;2174;61;282;24;10;5;382;3
Montréal,v  (p)                    ;038.00;159;320;1;30;0;0;0;31;0
Montréal,v  (p)                    ;038.00;160;329;5;49;1;0;0;55;0
Montréal,v  (p)                    ;038.00;161;327;2;35;0;1;1;39;0
Montréal,v  (p)                    ;038.00;162;319;3;26;0;4;3;36;0
Montréal,v  (p)                    ;038.00;163;320;1;41;3;2;1;48;2
Montréal,v  (p)                    ;038.00;164;305;1;43;3;0;2;49;0
TOTAL DU SECTEUR                   ;      ;    ;1920;13;224;7;7;7;258;2
Montréal,v  (p)                    ;039.00;165;277;9;28;0;0;0;37;0
Montréal,v  (p)                    ;039.00;166;286;9;42;1;2;0;54;0
Montréal,v  (p)                    ;039.00;167;275;5;39;0;3;0;47;0
Montréal,v  (p)                    ;039.00;168;286;1;18;2;1;1;23;0
Montréal,v  (p)                    ;039.00;169;280;8;28;2;3;2;43;0
Montréal,v  (p)                    ;039.00;170;277;3;22;4;0;0;29;0
TOTAL DU SECTEUR                   ;      ;    ;1681;35;177;9;9;3;233;0
Montréal,v  (p)                    ;040.00;171;328;4;43;4;3;0;54;0
Montréal,v  (p)                    ;040.00;172;304;12;37;4;11;2;66;1
Montréal,v  (p)                    ;040.00;173;318;4;32;5;2;3;46;1
Montréal,v  (p)                    ;040.00;174;101;0;0;0;0;0;0;0
Montréal,v  (p)                    ;040.00;175;400;11;35;7;22;7;82;2
Montréal,v  (p)                    ;040.00;176;323;11;40;5;21;4;81;1
Montréal,v  (p)                    ;040.00;177;290;4;30;3;33;7;77;1
Montréal,v  (p)                    ;040.00;178;293;6;11;1;21;6;45;0
Montréal,v  (p)                    ;040.00;179;292;3;18;4;13;8;46;0
TOTAL DU SECTEUR                   ;      ;    ;2649;55;246;33;126;37;497;6
VOTE PAR ANTICIPATION              ;      ;    ;       ;            ;            ;            ;            ;            ;      ;    
Montréal,v                         ;      ;1;       ;3;46;1;13;1;64;0
Montréal,v                         ;      ;2;       ;4;40;1;15;4;64;0
Montréal,v                         ;      ;3;       ;9;175;4;57;13;258;6
Montréal,v                         ;      ;4;       ;3;134;5;23;8;173;1
Montréal,v                         ;      ;5;       ;2;58;2;5;7;74;3
Montréal,v                         ;      ;6;       ;3;42;1;3;1;50;0
Montréal,v                         ;      ;7;       ;0;43;1;9;2;55;1
Montréal,v                         ;      ;8;       ;10;85;2;9;2;108;3
Montréal,v                         ;      ;9;       ;9;60;4;25;5;103;4
Montréal,v                         ;      ;10;       ;7;76;10;14;6;113;1
Montréal,v                         ;      ;11;       ;1;39;6;14;4;64;2
Montréal,v                         ;      ;12;       ;5;64;2;28;8;107;0
Montréal,v                         ;      ;13;       ;1;74;0;5;0;80;2
Montréal,v                         ;      ;14;       ;2;56;2;6;0;66;0
Montréal,v                         ;      ;15;       ;5;61;6;23;4;99;1
Montréal,v                         ;      ;16;       ;19;470;15;55;17;576;13
Montréal,v                         ;      ;17;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;18;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;19;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;20;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;21;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;22;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;23;       ;0;0;0;0;0;0;0
Montréal,v                         ;      ;24;       ;0;0;0;0;0;0;0
ÉLECTEURS HORS DU QUÉBEC           ;      ;    ;1;0;0;0;0;0;0;0
GRAND TOTAL                        ;        ;      ;52186;931;7126;513;1996;566;11132;166
